name,energy_consumption_btu,world_share,pc_yearly_btu,non_renewable,oil_consump,gas_consump,coal_consump,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,coal_reserves,coal_production,coal_consumption,coal_imports,coal_exports,coal_net_imports,coal_year,coal_units,coal_net_exports,coal_yearly_deficit/surplus,gas_reserves,gas_production,gas_consumption,gas_imports,gas_exports,gas_net_imports,gas_year,gas_units,gas_net_exports,gas_yearly_deficit/surplus,oil_reserves,oil_production,oil_consumption,oil_imports,oil_exports,oil_net_imports,oil_year,oil_units,oil_net_exports,oil_daily_deficit/surplus
Kuwait,1.59E+12,0.002732,392251,1,0.49,0.5,0,0,101492225,0.0136,3956875,25.65,0.28%,0,0,387109,387109,0,387109,2016,Tons ,,-387109,63500000,604981,738401,141260,0,141260,2015,Million Cubic Ft,,-133420,1.02E+11,2990544,359000,0,2128190,,2016,Barrels,2128190,2631544
Turkmenistan,1.75E+12,0.0030007,303509,1,0.17,0.83,0,0,79279216,0.0063,5662368,14,0.22%,0,0,0,0,0,,2016,Tons ,,0,265000000,2910380,1407727,0,1423195,,2015,Million Cubic Ft,1423195,1502653,600000000,266427,149000,0,68857,,2016,Barrels,68857,117427
Venezuela,2.49E+12,0.0042801,84774,0.76,0.39,0.37,0,0.24,175884256,-0.019,29851255,5.89,0.49%,805788610,825630,180696,36935,639340,,2016,Tons ,602404,644934,197087000,2832122,935953,17658,0,17658,2015,Million Cubic Ft,,1896168,3.00E+11,2355424,598000,0,1725049,,2016,Barrels,1725049,1757424
Sweden,2.22E+12,0.0038098,224001,0.34,0.3,0.01,0.03,0.66,44694415,0.0433,9836007,4.54,0.13%,1102310,0,2857191,3349995,0,3349995,2016,Tons ,,-2857191,0,0,34044,28676,0,28676,2015,Million Cubic Ft,,-34044,0,12411,322109,396510,0,396510,2016,Barrels,,-309698
Qatar,2.16E+12,0.0037081,792557,1,0.27,0.72,0,0,98990085,0.0179,2654374,37.29,0.28%,0,0,0,0,0,,2016,Tons ,,0,871585000,6000937,1418356,0,4375175,,2015,Million Cubic Ft,4375175,4582580,25244000000,1987193,172000,0,503415,,2016,Barrels,503415,1815193
Iraq,1.87E+12,0.003204,49687,0.97,0.92,0.05,0,0.03,162646160,0.0122,36610632,4.44,0.45%,0,0,0,0,0,,2016,Tons ,,0,111522000,885029,35386,0,0,,2015,Million Cubic Ft,0,849644,1.43E+11,4443457,857000,1,3576637,,2016,Barrels,3576636,3586457
Philippines,1.83E+12,0.003146,17420,0.88,0.47,0.06,0.36,0.12,126922662,0.1237,103663816,1.22,0.35%,348329960,13323621,22372484,22079269,7533187,14546083,2016,Tons ,,-9048863,3480000,108770,91819,0,0,,2015,Million Cubic Ft,0,16951,138500000,33258,429000,236907,14774,222133,2016,Barrels,,-395742
Algeria,2.40E+12,0.0041184,57949,0.99,0.35,0.65,0,0.01,156220560,0.0017,40551392,3.85,0.44%,65036290,0,27321,27321,0,27321,2016,Tons ,,-27321,159054000,6491745,1399216,0,1533342,,2015,Million Cubic Ft,1533342,5092529,12200000000,1698786,429000,139,633800,,2016,Barrels,633661,1269786
Belgium,2.68E+12,0.00461,235091,0.78,0.51,0.23,0.04,0.22,94722813,0.0153,11354420,8.34,0.26%,0,0,4035557,3872415,72752,3799663,2016,Tons ,,-4035557,0,0,605158,664381,59824,604557,2015,Million Cubic Ft,,-605158,0,24423,631522,641794,0,641794,2016,Barrels,,-607099
Norway,1.90E+12,0.0032649,358999,0.32,0.23,0.08,0.01,0.68,43456012,0.0085,5250949,8.28,0.12%,1102310,901690,824528,727525,1005307,,2016,Tons ,277782,77162,72358000,5763408,184697,0,3954221,,2015,Million Cubic Ft,3954221,5578711,5138767000,2003748,204090,9927,1394501,,2016,Barrels,1384574,1799657
Pakistan,3.18E+12,0.0054664,15312,0.87,0.37,0.43,0.07,0.13,178013820,0.0913,203631353,0.87,0.50%,3377477840,4506243,10199674,7107758,120,7107638,2016,Tons ,,-5693431,24700000,1454978,1436261,48382,0,48382,2015,Million Cubic Ft,,18717,353500000,88262,556000,140097,4896,135201,2016,Barrels,,-467738
Vietnam,3.24E+12,0.0055678,34276,0.8,0.28,0.09,0.43,0.2,206042140,0.0009,93640422,2.2,0.58%,3703761600,42468697,56641097,14693792,1546342,13147450,2016,Tons ,,-14172400,24700000,365157,320660,0,0,,2015,Million Cubic Ft,0,44497,4400000000,313633,478000,8712,157615,,2016,Barrels,148903,-164367
Italy,6.77E+12,0.0116277,111607,0.84,0.37,0.4,0.06,0.16,358139550,0.0084,60663060,5.9,1.00%,18739270,0,18787634,18418223,81080,18337143,2016,Tons ,,-18787634,1985000,239118,2384575,2163609,7805,2155804,2015,Million Cubic Ft,,-2145457,579232000,150147,1236628,1217209,16717,1200492,2016,Barrels,,-1086482
Indonesia,7.16E+12,0.0122924,27050,0.96,0.45,0.23,0.28,0.04,530035650,0.0641,261556381,2.03,1.48%,24910001380,502653360,102623737,3929046,406630277,,2016,Tons ,402701230,400029623,103350000,3143035,1501241,0,1069691,,2015,Million Cubic Ft,1069691,1641794,3692500000,945637,1623000,398645,336816,61829,2016,Barrels,,-677363
United Kingdom,8.19E+12,0.0140647,122751,0.8,0.39,0.36,0.05,0.2,367860350,-0.0638,66297944,5.55,1.03%,77000000,4605231,41459830,9362712,489094,8873619,2016,Tons ,,-36854599,8502000,1675238,2543775,1571623,502285,1069338,2015,Million Cubic Ft,,-868537,2754685000,1083928,1583896,797631,620188,177443,2016,Barrels,,-499968
Mexico,7.87E+12,0.0135118,63063,0.92,0.5,0.36,0.06,0.08,441412750,-0.0213,123333376,3.58,1.23%,1334897410,13852746,22478332,9127352,2864,9124488,2016,Tons ,,-8625586,16549000,2336370,2756000,1287973,1095,1286879,2015,Million Cubic Ft,,-419630,9711000000,2484355,2052607,0,1236469,,2016,Barrels,1236469,431748
Saudi Arabia,1.10E+13,0.019,332238,1,0.63,0.37,0,0,517079407,0.0092,32443447,15.94,1.45%,0,0,122987,123384,397,122987,2016,Tons ,,-122987,294205000,4231796,3614137,0,0,,2015,Million Cubic Ft,0,617659,2.67E+11,12402761,3302000,1,7333557,,2016,Barrels,7333556,9100761
Brazil,1.26E+13,0.022,60464,0.64,0.48,0.1,0.05,0.36,462994920,-0.0608,206163053,2.25,1.29%,7270836760,7721682,27275972,24291988,1706,24290282,2016,Tons ,,-19554290,16172000,1238144,1391058,670279,66,670213,2015,Million Cubic Ft,,-152914,16184100000,3242958,2984000,177352,832473,,2016,Barrels,655121,258958
France,1.02E+13,0.018,157947,0.54,0.34,0.16,0.04,0.46,331533320,0.0211,64667596,5.13,0.93%,0,0,12900349,14325675,0,14325675,2016,Tons ,,-12900349,314000,742,1342959,1567386,191372,1376014,2015,Million Cubic Ft,,-1342217,78431000,133014,1705568,1092170,805,1091365,2016,Barrels,,-1572554
South Korea,1.27E+13,0.022,247749,0.88,0.44,0.15,0.28,0.12,604043830,0.0045,50983457,11.85,1.69%,359353060,1902589,157124159,140976631,0,140976631,2016,Tons ,,-155221569,250000,6639,1565231,1533730,0,1533730,2015,Million Cubic Ft,,-1558592,0,108419,2605440,2946047,0,2946047,2016,Barrels,,-2497021
Iran,1.16E+13,0.02,143780,0.98,0.31,0.67,0,0.02,642560030,0.0222,79563989,8.08,1.80%,1326078930,1395157,1472686,297737,224537,73200,2016,Tons ,,-77529,1201382000,9097956,6567636,337258,295940,41319,2015,Million Cubic Ft,,2530320,1.58E+11,4376194,1803999,0,1896823,,2016,Barrels,1896823,2572195
Germany,1.41E+13,0.024,170128,0.81,0.36,0.24,0.21,0.19,775752190,0.0128,82193768,9.44,2.17%,39802209480,193593194,257488593,63694779,306442,63388337,2016,Tons ,,-63895399,2048000,337258,2872840,3620388,1147949,2472438,2015,Million Cubic Ft,,-2535582,132480000,211888,2383393,1837305,2034,1835271,2016,Barrels,,-2171505
Canada,1.51E+13,0.026,410054,0.68,0.33,0.31,0.04,0.32,675918610,-0.01,36382944,18.58,1.89%,7255404420,67605855,42907417,6962137,33434695,,2016,Tons ,26472558,24698438,71794000,6751698,4053420,693092,2763505,,2015,Million Cubic Ft,2070413,2698278,1.71E+11,4596725,2486301,891104,2749676,,2016,Barrels,1858572,2110424
Russia,3.28E+13,0.056,225608,0.89,0.22,0.52,0.15,0.11,1661899300,-0.0213,145275383,11.44,4.65%,1.77E+11,423095348,230392143,24331105,181506237,,2016,Tons ,157175131,192703205,1688228000,22728734,15538247,557977,6550933,,2015,Million Cubic Ft,5992956,7190487,80000000000,11262746,3631287,15047,5113524,,2016,Barrels,5098477,7631459
United States,9.77E+13,0.168,300418,0.81,0.38,0.29,0.14,0.19,5011686600,-0.0201,323015995,15.52,14.02%,2.54E+11,728364498,731071000,9849735,60271017,,2016,Tons ,50421282,-2706502,368704000,32914647,27243858,2718094,1783512,934582,2015,Million Cubic Ft,,5670789,35230000000,14837640,19687287,7850000,591000,7259000,2016,Barrels,,-4849647
Japan,1.94E+13,0.033,152177,0.9,0.4,0.25,0.24,0.1,1239592060,-0.0121,127763265,9.7,3.47%,385808500,1353637,210559949,209164774,2626,209162148,2016,Tons ,,-209206313,738000,99836,4364157,4160849,0,4160849,2015,Million Cubic Ft,,-4264322,44115000,123525,4012877,3146668,0,3146668,2016,Barrels,,-3889352
India,3.05E+13,0.052,22766,0.91,0.29,0.07,0.55,0.09,2533638100,0.0471,1324517249,1.91,7.09%,1.08E+11,761662038,966288693,215789801,1018312,214771489,2016,Tons ,,-204626654,50398000,1133364,1753143,659331,9535,649796,2015,Million Cubic Ft,,-619778,4728790000,1016371,4443000,4255300,5,4255295,2016,Barrels,,-3426629
Antigua and Barbuda,10605278000,0.0000182,111136,0.97,0.97,0,0,0.03,438763,0.0151,94527,4.64,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,4038496,0.0418,10832518,0.37,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,,,,,,,,,41732,0.0719,17725,2.35,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,30262,0.0152,14429,2.1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,13128,0.0262,5956,2.2,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
